[2026-04-02 11:50:48] INFO:     127.0.0.1:58686 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-04-02 11:51:15 TP0] Decode batch, #running-req: 1, #token: 7744, token usage: 0.00, accept len: 1.77, accept rate: 0.44, cuda graph: True, gen throughput (token/s): 204.57, #queue-req: 0
[2026-04-02 11:51:15 TP0] Decode batch, #running-req: 1, #token: 7808, token usage: 0.00, accept len: 2.42, accept rate: 0.61, cuda graph: True, gen throughput (token/s): 277.45, #queue-req: 0
[2026-04-02 11:51:16 TP0] Decode batch, #running-req: 1, #token: 7936, token usage: 0.00, accept len: 2.50, accept rate: 0.62, cuda graph: True, gen throughput (token/s): 287.26, #queue-req: 0
[2026-04-02 11:51:16 TP0] Decode batch, #running-req: 1, #token: 8000, token usage: 0.00, accept len: 2.23, accept rate: 0.56, cuda graph: True, gen throughput (token/s): 255.77, #queue-req: 0
[2026-04-02 11:51:16 TP0] Decode batch, #running-req: 1, #token: 8128, token usage: 0.00, accept len: 2.38, accept rate: 0.59, cuda graph: True, gen throughput (token/s): 273.18, #queue-req: 0
[2026-04-02 11:51:17 TP0] Decode batch, #running-req: 1, #token: 8256, token usage: 0.01, accept len: 2.85, accept rate: 0.71, cuda graph: True, gen throughput (token/s): 326.88, #queue-req: 0
[2026-04-02 11:51:17 TP0] Decode batch, #running-req: 1, #token: 8320, token usage: 0.01, accept len: 2.88, accept rate: 0.72, cuda graph: True, gen throughput (token/s): 329.27, #queue-req: 0
[2026-04-02 11:51:17 TP0] Decode batch, #running-req: 1, #token: 8448, token usage: 0.01, accept len: 2.45, accept rate: 0.61, cuda graph: True, gen throughput (token/s): 280.97, #queue-req: 0
[2026-04-02 11:51:18 TP0] Decode batch, #running-req: 1, #token: 8512, token usage: 0.01, accept len: 2.45, accept rate: 0.61, cuda graph: True, gen throughput (token/s): 280.49, #queue-req: 0
[2026-04-02 11:51:18 TP0] Decode batch, #running-req: 1, #token: 8640, token usage: 0.01, accept len: 2.33, accept rate: 0.58, cuda graph: True, gen throughput (token/s): 267.21, #queue-req: 0
[2026-04-02 11:51:18 TP0] Decode batch, #running-req: 1, #token: 8704, token usage: 0.01, accept len: 2.35, accept rate: 0.59, cuda graph: True, gen throughput (token/s): 271.34, #queue-req: 0
[2026-04-02 11:51:19 TP0] Decode batch, #running-req: 1, #token: 8832, token usage: 0.01, accept len: 2.27, accept rate: 0.57, cuda graph: True, gen throughput (token/s): 262.74, #queue-req: 0
[2026-04-02 11:51:19 TP0] Decode batch, #running-req: 1, #token: 8896, token usage: 0.01, accept len: 2.20, accept rate: 0.55, cuda graph: True, gen throughput (token/s): 253.97, #queue-req: 0
[2026-04-02 11:51:19 TP0] Decode batch, #running-req: 1, #token: 9024, token usage: 0.01, accept len: 2.45, accept rate: 0.61, cuda graph: True, gen throughput (token/s): 281.08, #queue-req: 0
[2026-04-02 11:51:20 TP0] Decode batch, #running-req: 1, #token: 9088, token usage: 0.01, accept len: 2.48, accept rate: 0.62, cuda graph: True, gen throughput (token/s): 283.99, #queue-req: 0
[2026-04-02 11:51:20 TP0] Decode batch, #running-req: 1, #token: 9216, token usage: 0.01, accept len: 3.00, accept rate: 0.75, cuda graph: True, gen throughput (token/s): 342.91, #queue-req: 0
[2026-04-02 11:51:21 TP0] Decode batch, #running-req: 1, #token: 9344, token usage: 0.01, accept len: 2.85, accept rate: 0.71, cuda graph: True, gen throughput (token/s): 324.40, #queue-req: 0
[2026-04-02 11:51:21 TP0] Decode batch, #running-req: 1, #token: 9408, token usage: 0.01, accept len: 2.58, accept rate: 0.64, cuda graph: True, gen throughput (token/s): 292.41, #queue-req: 0
[2026-04-02 11:51:21 TP0] Decode batch, #running-req: 1, #token: 9536, token usage: 0.01, accept len: 2.27, accept rate: 0.57, cuda graph: True, gen throughput (token/s): 258.30, #queue-req: 0
[2026-04-02 11:51:22 TP0] Decode batch, #running-req: 1, #token: 9600, token usage: 0.01, accept len: 2.45, accept rate: 0.61, cuda graph: True, gen throughput (token/s): 277.12, #queue-req: 0
[2026-04-02 11:51:22 TP0] Decode batch, #running-req: 1, #token: 9728, token usage: 0.01, accept len: 2.50, accept rate: 0.62, cuda graph: True, gen throughput (token/s): 283.97, #queue-req: 0
[2026-04-02 11:51:22 TP0] Decode batch, #running-req: 1, #token: 9856, token usage: 0.01, accept len: 2.70, accept rate: 0.68, cuda graph: True, gen throughput (token/s): 306.05, #queue-req: 0
[2026-04-02 11:51:23 TP0] Decode batch, #running-req: 1, #token: 9920, token usage: 0.01, accept len: 2.60, accept rate: 0.65, cuda graph: True, gen throughput (token/s): 294.69, #queue-req: 0
[2026-04-02 11:51:23 TP0] Decode batch, #running-req: 1, #token: 10048, token usage: 0.01, accept len: 3.05, accept rate: 0.76, cuda graph: True, gen throughput (token/s): 345.23, #queue-req: 0
[2026-04-02 11:51:23 TP0] Decode batch, #running-req: 1, #token: 10176, token usage: 0.01, accept len: 2.10, accept rate: 0.53, cuda graph: True, gen throughput (token/s): 238.67, #queue-req: 0
