[2026-04-02 11:58:28] INFO:     127.0.0.1:35568 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-04-02 11:58:28] INFO:     127.0.0.1:35576 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-04-02 11:58:28] INFO:     127.0.0.1:35588 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-04-02 11:58:28] INFO:     127.0.0.1:35596 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-04-02 11:58:28] INFO:     127.0.0.1:35602 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-04-02 11:58:28] INFO:     127.0.0.1:35614 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-04-02 11:58:28] INFO:     127.0.0.1:35626 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-04-02 11:58:28] INFO:     127.0.0.1:35638 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-04-02 11:59:13 TP0] Decode batch, #running-req: 8, #token: 59008, token usage: 0.04, accept len: 1.89, accept rate: 0.47, cuda graph: True, gen throughput (token/s): 1039.28, #queue-req: 0
[2026-04-02 11:59:14 TP0] Decode batch, #running-req: 8, #token: 59712, token usage: 0.04, accept len: 1.98, accept rate: 0.50, cuda graph: True, gen throughput (token/s): 1080.26, #queue-req: 0
[2026-04-02 11:59:14 TP0] Decode batch, #running-req: 8, #token: 60352, token usage: 0.04, accept len: 2.16, accept rate: 0.54, cuda graph: True, gen throughput (token/s): 1174.24, #queue-req: 0
[2026-04-02 11:59:15 TP0] Decode batch, #running-req: 8, #token: 61056, token usage: 0.04, accept len: 2.18, accept rate: 0.55, cuda graph: True, gen throughput (token/s): 1181.19, #queue-req: 0
[2026-04-02 11:59:16 TP0] Decode batch, #running-req: 8, #token: 61824, token usage: 0.04, accept len: 2.07, accept rate: 0.52, cuda graph: True, gen throughput (token/s): 1126.70, #queue-req: 0
[2026-04-02 11:59:16 TP0] Decode batch, #running-req: 8, #token: 62400, token usage: 0.04, accept len: 1.99, accept rate: 0.50, cuda graph: True, gen throughput (token/s): 1084.74, #queue-req: 0
[2026-04-02 11:59:17 TP0] Decode batch, #running-req: 8, #token: 63104, token usage: 0.04, accept len: 2.02, accept rate: 0.50, cuda graph: True, gen throughput (token/s): 1098.49, #queue-req: 0
[2026-04-02 11:59:17 TP0] Decode batch, #running-req: 8, #token: 63680, token usage: 0.04, accept len: 1.95, accept rate: 0.49, cuda graph: True, gen throughput (token/s): 1061.25, #queue-req: 0
[2026-04-02 11:59:18 TP0] Decode batch, #running-req: 8, #token: 64320, token usage: 0.04, accept len: 2.14, accept rate: 0.54, cuda graph: True, gen throughput (token/s): 1157.45, #queue-req: 0
[2026-04-02 11:59:19 TP0] Decode batch, #running-req: 8, #token: 65024, token usage: 0.04, accept len: 2.21, accept rate: 0.55, cuda graph: True, gen throughput (token/s): 1189.28, #queue-req: 0
[2026-04-02 11:59:19 TP0] Decode batch, #running-req: 8, #token: 65664, token usage: 0.04, accept len: 1.96, accept rate: 0.49, cuda graph: True, gen throughput (token/s): 1062.83, #queue-req: 0
[2026-04-02 11:59:20 TP0] Decode batch, #running-req: 8, #token: 66240, token usage: 0.04, accept len: 1.91, accept rate: 0.48, cuda graph: True, gen throughput (token/s): 1035.38, #queue-req: 0
[2026-04-02 11:59:20 TP0] Decode batch, #running-req: 8, #token: 67008, token usage: 0.04, accept len: 2.01, accept rate: 0.50, cuda graph: True, gen throughput (token/s): 1087.09, #queue-req: 0
[2026-04-02 11:59:21 TP0] Decode batch, #running-req: 8, #token: 67584, token usage: 0.04, accept len: 1.92, accept rate: 0.48, cuda graph: True, gen throughput (token/s): 1040.71, #queue-req: 0
[2026-04-02 11:59:22 TP0] Decode batch, #running-req: 8, #token: 68160, token usage: 0.04, accept len: 1.78, accept rate: 0.45, cuda graph: True, gen throughput (token/s): 969.35, #queue-req: 0
[2026-04-02 11:59:22 TP0] Decode batch, #running-req: 8, #token: 68672, token usage: 0.04, accept len: 1.85, accept rate: 0.46, cuda graph: True, gen throughput (token/s): 1004.45, #queue-req: 0
[2026-04-02 11:59:23 TP0] Decode batch, #running-req: 8, #token: 69440, token usage: 0.04, accept len: 1.98, accept rate: 0.50, cuda graph: True, gen throughput (token/s): 1071.25, #queue-req: 0
[2026-04-02 11:59:23 TP0] Decode batch, #running-req: 8, #token: 69952, token usage: 0.04, accept len: 1.85, accept rate: 0.46, cuda graph: True, gen throughput (token/s): 1004.91, #queue-req: 0
[2026-04-02 11:59:24 TP0] Decode batch, #running-req: 8, #token: 70528, token usage: 0.04, accept len: 1.83, accept rate: 0.46, cuda graph: True, gen throughput (token/s): 992.73, #queue-req: 0
[2026-04-02 11:59:25 TP0] Decode batch, #running-req: 8, #token: 71168, token usage: 0.04, accept len: 1.89, accept rate: 0.47, cuda graph: True, gen throughput (token/s): 1017.53, #queue-req: 0
[2026-04-02 11:59:25 TP0] Decode batch, #running-req: 8, #token: 71680, token usage: 0.04, accept len: 1.91, accept rate: 0.48, cuda graph: True, gen throughput (token/s): 1029.89, #queue-req: 0
[2026-04-02 11:59:26 TP0] Decode batch, #running-req: 8, #token: 72384, token usage: 0.04, accept len: 1.94, accept rate: 0.48, cuda graph: True, gen throughput (token/s): 1037.75, #queue-req: 0
[2026-04-02 11:59:26 TP0] Decode batch, #running-req: 8, #token: 72960, token usage: 0.04, accept len: 1.99, accept rate: 0.50, cuda graph: True, gen throughput (token/s): 1068.13, #queue-req: 0
[2026-04-02 11:59:27 TP0] Decode batch, #running-req: 8, #token: 73600, token usage: 0.04, accept len: 1.90, accept rate: 0.47, cuda graph: True, gen throughput (token/s): 1020.49, #queue-req: 0
[2026-04-02 11:59:27 TP0] Decode batch, #running-req: 8, #token: 74176, token usage: 0.04, accept len: 1.85, accept rate: 0.46, cuda graph: True, gen throughput (token/s): 993.13, #queue-req: 0
[2026-04-02 11:59:28 TP0] Decode batch, #running-req: 8, #token: 74752, token usage: 0.05, accept len: 1.92, accept rate: 0.48, cuda graph: True, gen throughput (token/s): 1029.20, #queue-req: 0
[2026-04-02 11:59:29 TP0] Decode batch, #running-req: 8, #token: 75456, token usage: 0.05, accept len: 2.01, accept rate: 0.50, cuda graph: True, gen throughput (token/s): 1077.95, #queue-req: 0
[2026-04-02 11:59:29 TP0] Decode batch, #running-req: 8, #token: 76032, token usage: 0.05, accept len: 1.96, accept rate: 0.49, cuda graph: True, gen throughput (token/s): 1049.48, #queue-req: 0
[2026-04-02 11:59:30 TP0] Decode batch, #running-req: 8, #token: 76672, token usage: 0.05, accept len: 2.01, accept rate: 0.50, cuda graph: True, gen throughput (token/s): 1079.09, #queue-req: 0
[2026-04-02 11:59:30 TP0] Decode batch, #running-req: 8, #token: 77312, token usage: 0.05, accept len: 1.99, accept rate: 0.50, cuda graph: True, gen throughput (token/s): 1071.82, #queue-req: 0
[2026-04-02 11:59:31 TP0] Decode batch, #running-req: 8, #token: 77952, token usage: 0.05, accept len: 1.90, accept rate: 0.48, cuda graph: True, gen throughput (token/s): 1018.16, #queue-req: 0
[2026-04-02 11:59:32 TP0] Decode batch, #running-req: 8, #token: 78592, token usage: 0.05, accept len: 1.99, accept rate: 0.50, cuda graph: True, gen throughput (token/s): 1063.17, #queue-req: 0
[2026-04-02 11:59:32 TP0] Decode batch, #running-req: 8, #token: 79360, token usage: 0.05, accept len: 2.04, accept rate: 0.51, cuda graph: True, gen throughput (token/s): 1092.75, #queue-req: 0
[2026-04-02 11:59:33 TP0] Decode batch, #running-req: 8, #token: 79936, token usage: 0.05, accept len: 2.01, accept rate: 0.50, cuda graph: True, gen throughput (token/s): 1075.41, #queue-req: 0
[2026-04-02 11:59:33 TP0] Decode batch, #running-req: 8, #token: 80704, token usage: 0.05, accept len: 2.23, accept rate: 0.56, cuda graph: True, gen throughput (token/s): 1186.65, #queue-req: 0
[2026-04-02 11:59:34 TP0] Decode batch, #running-req: 8, #token: 81344, token usage: 0.05, accept len: 2.12, accept rate: 0.53, cuda graph: True, gen throughput (token/s): 1128.09, #queue-req: 0
[2026-04-02 11:59:35 TP0] Decode batch, #running-req: 8, #token: 81984, token usage: 0.05, accept len: 2.26, accept rate: 0.57, cuda graph: True, gen throughput (token/s): 1198.56, #queue-req: 0
